AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.016637769728024835,0.016764953145885293,0.016892771988237243,Dual Bandit no log (alpha = 0.0),5000
0.017281467109186256,0.01741108568239976,0.017541339260586764,Dual Bandit no log (alpha = 0.8),5000
0.01726857396472301,0.01739814953835423,0.017528360178177382,Dual Bandit no log (alpha = 0.85),5000
0.01689556002838237,0.01702364757977417,0.01715236962772193,Dual Bandit no log (alpha = 0.9),5000
0.015988190152656727,0.01611293168423946,0.01623830971288942,Dual Bandit no log (alpha = 0.925),5000
0.015002526704793157,0.015123210505891199,0.015244529820626851,Dual Bandit no log (alpha = 0.95),5000
0.014265780755153952,0.01438337582115587,0.014501605899788217,Dual Bandit no log (alpha = 0.975),5000
0.013380094751135621,0.013493968530517389,0.013608477718483392,Dual Bandit no log (alpha = 0.99),5000
0.011928421668574364,0.012035824909576835,0.012143863051470305,Dual Bandit no log (alpha = 0.999),5000
0.011797497232373708,0.011904322353130811,0.012011782604727794,Dual Bandit no log (alpha = 0.9999),5000
0.011772411521896516,0.011879115144201148,0.01198645381811203,Dual Bandit no log (alpha = 1.0),5000
