AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.013602767432839965,0.013717623019247028,0.01383311430308809,Dual Bandit log (alpha = 0.0),5000
0.013616483158882971,0.013731393565280858,0.013846939626621646,Dual Bandit log (alpha = 0.8),5000
0.013726375610041384,0.013841736734150878,0.01395773331320671,Dual Bandit log (alpha = 0.85),5000
0.013596112090213136,0.013710937655707082,0.013826398902060388,Dual Bandit log (alpha = 0.9),5000
0.013631430548696633,0.013746399624055137,0.013862004296562258,Dual Bandit log (alpha = 0.925),5000
0.013742688611203834,0.013858120619223837,0.013974188098283546,Dual Bandit log (alpha = 0.95),5000
0.013773176852097526,0.01388875296983904,0.01400496471941104,Dual Bandit log (alpha = 0.975),5000
0.013802541953999072,0.01391823878235993,0.014034571197322876,Dual Bandit log (alpha = 0.99),5000
0.014334688743148366,0.014452673024835994,0.014571293413192521,Dual Bandit log (alpha = 0.999),5000
0.015448178443040285,0.015570658376864454,0.015693773723667426,Dual Bandit log (alpha = 0.9999),5000
0.01563911059573895,0.015762389990605648,0.015886305141548984,Dual Bandit log (alpha = 1.0),5000
