AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.01435323745986249,0.014471131237766418,0.014589659317672532,Dual Bandit no log (alpha = 0.0),5000
0.013192632212358477,0.013305678961796049,0.013419360936285374,Dual Bandit no log (alpha = 0.8),5000
0.013603261742230244,0.013718066712832747,0.013833506797162332,Dual Bandit no log (alpha = 0.85),5000
0.01391904409724224,0.014035180514884353,0.014151951927710682,Dual Bandit no log (alpha = 0.9),5000
0.013531294539598296,0.013645792070408813,0.01376092472260082,Dual Bandit no log (alpha = 0.925),5000
0.013442859696355305,0.013556927396375859,0.013671629658287165,Dual Bandit no log (alpha = 0.95),5000
0.013787578656898686,0.013903131763165832,0.014019319576127454,Dual Bandit no log (alpha = 0.975),5000
0.013282321238389249,0.013395808273239291,0.013509931112025475,Dual Bandit no log (alpha = 0.99),5000
0.01467859226531365,0.014797970951367707,0.014917985402313594,Dual Bandit no log (alpha = 0.999),5000
0.015673538701295897,0.015796945166765015,0.015920987278951748,Dual Bandit no log (alpha = 0.9999),5000
0.015690886063604855,0.015814358560657847,0.01593846667255916,Dual Bandit no log (alpha = 1.0),5000
