AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.016588649356643444,0.016715575786110742,0.016843136980095763,Dual Bandit no log (alpha = 0.0),5000
0.01688867717910895,0.017016727545222467,0.01714541230318467,Dual Bandit no log (alpha = 0.8),5000
0.016791971950138606,0.01691970036285812,0.017048063676248004,Dual Bandit no log (alpha = 0.85),5000
0.016852995436176202,0.016980877385794717,0.017109393424005193,Dual Bandit no log (alpha = 0.9),5000
0.016783567015405693,0.016911225235630142,0.017039517982375796,Dual Bandit no log (alpha = 0.925),5000
0.016870704369741862,0.01699871468054033,0.017127359673071996,Dual Bandit no log (alpha = 0.95),5000
0.01684628321837693,0.016974210770027698,0.017102773116885017,Dual Bandit no log (alpha = 0.975),5000
0.01687255964352952,0.017000571290127553,0.017129217558715437,Dual Bandit no log (alpha = 0.99),5000
0.016876457051890323,0.01700449218639532,0.017133162029602245,Dual Bandit no log (alpha = 0.999),5000
0.016891781025951146,0.017019875094340196,0.017148603868431644,Dual Bandit no log (alpha = 0.9999),5000
0.016894796890002457,0.017022904896567295,0.017151647631666433,Dual Bandit no log (alpha = 1.0),5000
