AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.012783050064176371,0.01289431161246888,0.01300620843979583,Dual Bandit log (alpha = 0.0),5000
0.012697337149937163,0.012808195997004172,0.012919689841722759,Dual Bandit log (alpha = 0.8),5000
0.012693037648259074,0.01280392458620556,0.012915447061622176,Dual Bandit log (alpha = 0.85),5000
0.012701236324973792,0.0128121677934663,0.012923734894141559,Dual Bandit log (alpha = 0.9),5000
0.01263940767908097,0.012750048482724794,0.012861324722221013,Dual Bandit log (alpha = 0.925),5000
0.01279137028376872,0.012902665100147813,0.01301459515746306,Dual Bandit log (alpha = 0.95),5000
0.012705454301115335,0.012816391317155378,0.012927963814948318,Dual Bandit log (alpha = 0.975),5000
0.012602075807868639,0.012712560710248193,0.012823681157700828,Dual Bandit log (alpha = 0.99),5000
0.012640697537394524,0.012751296257336887,0.012862529864320349,Dual Bandit log (alpha = 0.999),5000
0.011897252868366306,0.012004516183391961,0.012112414423648854,Dual Bandit log (alpha = 0.9999),5000
0.011689423819618343,0.011795755523105094,0.011902722384174003,Dual Bandit log (alpha = 1.0),5000
