AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.01893528499630001,0.019071147350414302,0.019207645374273996,Dual Bandit no log (alpha = 0.0),5000
0.02030521001703648,0.020445949559601995,0.02058732433053445,Dual Bandit no log (alpha = 0.8),5000
0.019717132021176403,0.019855743239520288,0.019994989375445305,Dual Bandit no log (alpha = 0.85),5000
0.019738811422578006,0.019877566251316182,0.02001695660138869,Dual Bandit no log (alpha = 0.9),5000
0.019564711454781617,0.019702888775661904,0.019841702056185295,Dual Bandit no log (alpha = 0.925),5000
0.01921303449136902,0.019349881959132707,0.019487364849209987,Dual Bandit no log (alpha = 0.95),5000
0.01851461167021391,0.01864886304524606,0.018783749476559475,Dual Bandit no log (alpha = 0.975),5000
0.018254739167956197,0.018388008074628093,0.01852191185050822,Dual Bandit no log (alpha = 0.99),5000
0.018326810620702214,0.018460368022521167,0.018594560492856238,Dual Bandit no log (alpha = 0.999),5000
0.018146343756849814,0.018279270621472367,0.018412832942308555,Dual Bandit no log (alpha = 0.9999),5000
0.018223908728658693,0.01835712150888644,0.018490969716163153,Dual Bandit no log (alpha = 1.0),5000
