AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.018104009116488653,0.018236762260089658,0.018370150709007937,Dual Bandit log (alpha = 0.0),5000
0.017983624238864862,0.01811598527707652,0.018248982176778283,Dual Bandit log (alpha = 0.8),5000
0.017753679469358713,0.01788514736504162,0.018017250840045462,Dual Bandit log (alpha = 0.85),5000
0.018175667571304996,0.01830871873270269,0.01844240549212417,Dual Bandit log (alpha = 0.9),5000
0.01822616388101226,0.018359427756432112,0.018493327466082676,Dual Bandit log (alpha = 0.925),5000
0.018175749315207684,0.01830880859513618,0.018442503547185907,Dual Bandit log (alpha = 0.95),5000
0.0181400757994804,0.01827301365286836,0.01840658728921818,Dual Bandit log (alpha = 0.975),5000
0.017977951703300223,0.01811027515820677,0.018243234317305235,Dual Bandit log (alpha = 0.99),5000
0.018086832451969577,0.018219572902774463,0.01835294915047625,Dual Bandit log (alpha = 0.999),5000
0.018153637341642256,0.018286616195192843,0.01842023074064114,Dual Bandit log (alpha = 0.9999),5000
0.01821014169106688,0.0183433374333251,0.01847716892971274,Dual Bandit log (alpha = 1.0),5000
