AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.013074739186376466,0.013187351068761918,0.01330059904985248,Dual Bandit log (alpha = 0.0),5000
0.013265660258710059,0.013379093919452625,0.013493163594242352,Dual Bandit log (alpha = 0.8),5000
0.0131336086266997,0.013246429301838697,0.013359885541097682,Dual Bandit log (alpha = 0.85),5000
0.013143251703005836,0.013256140456897339,0.013369665069281722,Dual Bandit log (alpha = 0.9),5000
0.013166717823041709,0.01327969424800745,0.013393306368993607,Dual Bandit log (alpha = 0.925),5000
0.013140700939283378,0.013253558105583998,0.013367050898257848,Dual Bandit log (alpha = 0.95),5000
0.013246485609542714,0.01335979663457966,0.013473743229602597,Dual Bandit log (alpha = 0.975),5000
0.013068699270215716,0.013181268239273037,0.013294473120077921,Dual Bandit log (alpha = 0.99),5000
0.013020522594149667,0.013132865313723045,0.013245843763423526,Dual Bandit log (alpha = 0.999),5000
0.013845391394147345,0.01396129104710305,0.014077826517951864,Dual Bandit log (alpha = 0.9999),5000
0.015020518876592157,0.015141277502359924,0.015262671656784188,Dual Bandit log (alpha = 1.0),5000
