AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.01828806761334186,0.018421578491086225,0.018555725360367648,Dual Bandit no log (alpha = 0.0),5000
0.016839472493122284,0.016967441150727756,0.017096045270802107,Dual Bandit no log (alpha = 0.8),5000
0.017521167038295482,0.017651807240755726,0.017783083521155985,Dual Bandit no log (alpha = 0.85),5000
0.017601598832073427,0.017732489402922526,0.017864015524177046,Dual Bandit no log (alpha = 0.9),5000
0.01776980891090673,0.017901348560857358,0.018033523896191506,Dual Bandit no log (alpha = 0.925),5000
0.016741807836633052,0.01686935932534914,0.016997545886099807,Dual Bandit no log (alpha = 0.95),5000
0.016078708244283632,0.016203764112113418,0.01632945603087055,Dual Bandit no log (alpha = 0.975),5000
0.01476818732214941,0.014887941030608483,0.01500833056889217,Dual Bandit no log (alpha = 0.99),5000
0.013823593207905712,0.013939386253059346,0.01405581496145758,Dual Bandit no log (alpha = 0.999),5000
0.014375405496541312,0.014493541794304,0.014612314008072613,Dual Bandit no log (alpha = 0.9999),5000
0.014893373975740701,0.015013695083318058,0.015134652585656827,Dual Bandit no log (alpha = 1.0),5000
