,AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
3,0.01497636911281421,0.015096854356483395,0.015217974149312141,Dual Bandit (alpha = 0.8 - no log),6000
4,0.014824292776463964,0.014944068240477467,0.015064477326810155,Dual Bandit (alpha = 0.8 - no log),8000
5,0.015045599051903688,0.015166354799417225,0.015287744971649309,Dual Bandit (alpha = 0.8 - no log),10000
6,0.015136689451070384,0.015257953142522568,0.015379852700298735,Dual Bandit (alpha = 0.8 - no log),12000
7,0.015088197388970794,0.01520926471575685,0.015330967915488158,Dual Bandit (alpha = 0.8 - no log),14000
8,0.014977665183209496,0.015098307622059805,0.015219586206855373,Dual Bandit (alpha = 0.8 - no log),16000
0,0.014040347996605293,0.014157164124593809,0.014274617075987428,Dual Bandit (alpha = 0.8 - with log),1000
1,0.014565688855763759,0.01468483211492482,0.014804613607749317,Dual Bandit (alpha = 0.8 - with log),2000
2,0.014891499329251254,0.015011652970886968,0.015132441320354406,Dual Bandit (alpha = 0.8 - with log),4000
3,0.015045202915303877,0.015166011781610606,0.015287455647947756,Dual Bandit (alpha = 0.8 - with log),6000
4,0.014946604520073525,0.015066866462471878,0.015187761880737782,Dual Bandit (alpha = 0.8 - with log),8000
5,0.014950450160639648,0.015070841189475189,0.015191866889355699,Dual Bandit (alpha = 0.8 - with log),10000
6,0.014938683056224679,0.015059128991898915,0.015180210681116413,Dual Bandit (alpha = 0.8 - with log),12000
7,0.014957555878918208,0.015078108534591373,0.015199297255672817,Dual Bandit (alpha = 0.8 - with log),14000
8,0.014972056254505178,0.015092654889117478,0.015213889449235407,Dual Bandit (alpha = 0.8 - with log),16000
