AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.01088600012587008,0.010988560604133397,0.01109175605915258,Dual Bandit no log (alpha = 0.0),5000
0.0117259518826341,0.01183249622046414,0.011939676249847597,Dual Bandit no log (alpha = 0.8),5000
0.011987237919500824,0.012094959567414906,0.012203316717557144,Dual Bandit no log (alpha = 0.85),5000
0.012148019621054551,0.012256463858763073,0.012365543534514356,Dual Bandit no log (alpha = 0.9),5000
0.012466495136478229,0.012576393934247487,0.01268692847136621,Dual Bandit no log (alpha = 0.925),5000
0.01238667925053596,0.012496225237415505,0.012606407004914555,Dual Bandit no log (alpha = 0.95),5000
0.013541019403039513,0.013655621264625255,0.013770858940275632,Dual Bandit no log (alpha = 0.975),5000
0.013439260760690798,0.013553382247567667,0.013668139064664908,Dual Bandit no log (alpha = 0.99),5000
0.012417540990589379,0.012527216660360236,0.012637528014004307,Dual Bandit no log (alpha = 0.999),5000
0.012396924215893397,0.012506367498203321,0.0126164448417595,Dual Bandit no log (alpha = 0.9999),5000
0.008833000842180017,0.008925276419882925,0.009018186612181234,Dual Bandit no log (alpha = 1.0),5000
