,AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
4,0.012281682159421253,0.0123907793261712,0.012500512526761876,Contextual Bandit - with log,8000
5,0.012264113668390699,0.012373028735771391,0.012482578636247577,Contextual Bandit - with log,10000
6,0.01241211162791517,0.012521792351243293,0.012632109098321465,Contextual Bandit - with log,12000
7,0.012515807570204297,0.012625975754010331,0.012736780250045432,Contextual Bandit - with log,14000
8,0.012453056455972696,0.012562868853894614,0.012673316683328828,Contextual Bandit - with log,16000
0,0.010449770573803828,0.010550473385978353,0.010651814180655084,POEM (lambda = 1.0 - no log),1000
1,0.011468230241163776,0.011573856694276081,0.011680122119563374,POEM (lambda = 1.0 - no log),2000
2,0.010313268458990405,0.010413080357954999,0.010513527377598919,POEM (lambda = 1.0 - no log),4000
3,0.01119220901798169,0.011296346436421962,0.011401120418967903,POEM (lambda = 1.0 - no log),6000
4,0.010929514799039265,0.011032431600636087,0.011135985226525702,POEM (lambda = 1.0 - no log),8000
5,0.011114097718983721,0.011217753419836402,0.011322044289958533,POEM (lambda = 1.0 - no log),10000
6,0.010449197361719155,0.010549797043288067,0.010651033439675883,POEM (lambda = 1.0 - no log),12000
7,0.012045026292555014,0.012153081373296553,0.012261772791768655,POEM (lambda = 1.0 - no log),14000
8,0.010484448720870856,0.010585074387422486,0.01068633493881499,POEM (lambda = 1.0 - no log),16000
0,0.011470380156814421,0.011575906868479514,0.011682071226789437,POEM (lambda = 1.0 - with log),1000
1,0.012452430955282177,0.01256263608493225,0.012673481225666583,POEM (lambda = 1.0 - with log),2000
2,0.011800236535729314,0.011907046188852483,0.012014490640290587,POEM (lambda = 1.0 - with log),4000
3,0.012228265522792095,0.012337066748604,0.012446503357594674,POEM (lambda = 1.0 - with log),6000
4,0.012240396183225486,0.012349299020192477,0.012458837789557364,POEM (lambda = 1.0 - with log),8000
5,0.012268967232230001,0.01237792288150219,0.0124875135828445,POEM (lambda = 1.0 - with log),10000
6,0.012350434517449747,0.012459847140779726,0.012569895880327864,POEM (lambda = 1.0 - with log),12000
7,0.012428501217702254,0.012538267466896656,0.0126486698835242,POEM (lambda = 1.0 - with log),14000
8,0.01241371485757872,0.012523326701975604,0.012633573689079802,POEM (lambda = 1.0 - with log),16000
0,0.012081994384454287,0.01219035279286397,0.012299349134184845,Dual Bandit (alpha = 0.975 - no log),1000
1,0.012553862377871296,0.012664398181140006,0.0127755725820341,Dual Bandit (alpha = 0.975 - no log),2000
2,0.013170440699653615,0.013283433579835484,0.013397062160791284,Dual Bandit (alpha = 0.975 - no log),4000
3,0.013574380912013831,0.013689151040819596,0.01380455726524199,Dual Bandit (alpha = 0.975 - no log),6000
4,0.012336661356769862,0.012446052885327477,0.012556081001723118,Dual Bandit (alpha = 0.975 - no log),8000
5,0.012739918289893876,0.012851003402666948,0.012962723951581157,Dual Bandit (alpha = 0.975 - no log),10000
6,0.013146114603526615,0.013259116372019932,0.013372755129705483,Dual Bandit (alpha = 0.975 - no log),12000
7,0.01324117608255989,0.013354569395175108,0.013468599457475916,Dual Bandit (alpha = 0.975 - no log),14000
8,0.011821923840910378,0.011928888460577653,0.012036488541583013,Dual Bandit (alpha = 0.975 - no log),16000
0,0.012914120848570496,0.01302617790308487,0.013138872732133877,Dual Bandit (alpha = 0.999 - with log),1000
1,0.012588290735928459,0.01269904674130048,0.01281044211541571,Dual Bandit (alpha = 0.999 - with log),2000
2,0.013382354065300032,0.013496217734068613,0.01361071658934454,Dual Bandit (alpha = 0.999 - with log),4000
3,0.012009037845123914,0.012116942783732054,0.012225484215109272,Dual Bandit (alpha = 0.999 - with log),6000
4,0.013054573270724056,0.013167027940286133,0.01328011792636985,Dual Bandit (alpha = 0.999 - with log),8000
5,0.013346440071182644,0.013460047732869213,0.013574289452581434,Dual Bandit (alpha = 0.999 - with log),10000
6,0.013552199995844562,0.013666848427147472,0.01378213265867545,Dual Bandit (alpha = 0.999 - with log),12000
7,0.013735189695708224,0.013850659703456253,0.01396676595250268,Dual Bandit (alpha = 0.999 - with log),14000
8,0.01313129611262087,0.013244149490058527,0.013357638911246306,Dual Bandit (alpha = 0.999 - with log),16000
